map,scenid,tcost,distance,expect,steps,d,itype
dr_primevalentrance,0,440.800000,23.727800,4.414210,21,-1,tree
dr_primevalentrance,1,131.600000,17.899400,7.414210,16,-1,tree
dr_primevalentrance,2,195.400000,17.899400,6.242640,16,-1,tree
dr_primevalentrance,3,121.600000,9.485200,5.242640,8,-1,tree
dr_primevalentrance,4,430.400000,63.556200,5.414210,60,-1,tree
dr_primevalentrance,5,160.600000,16.727800,5.414210,14,-1,tree
dr_primevalentrance,6,437.800000,66.982200,6.414210,51,-1,tree
dr_primevalentrance,7,105.800000,5.242600,5.242640,5,-1,tree
dr_primevalentrance,8,149.800000,11.071000,5.414210,10,-1,tree
dr_primevalentrance,9,271.400000,42.869800,7.414210,36,-1,tree
dr_primevalentrance,10,158.400000,16.899400,9.485280,15,-1,tree
dr_primevalentrance,11,228.800000,31.142000,11.000000,28,-1,tree
dr_primevalentrance,12,107.000000,14.142000,11.313700,11,-1,tree
dr_primevalentrance,13,397.000000,72.153800,11.485300,57,-1,tree
dr_primevalentrance,14,162.200000,26.727800,8.242640,24,-1,tree
dr_primevalentrance,15,168.800000,26.485200,8.485280,25,-1,tree
dr_primevalentrance,16,309.400000,74.497000,11.242600,61,-1,tree
dr_primevalentrance,17,142.600000,25.899400,8.242640,24,-1,tree
dr_primevalentrance,18,162.600000,27.313600,9.656850,25,-1,tree
dr_primevalentrance,19,102.200000,9.071000,9.071070,8,-1,tree
dr_primevalentrance,20,245.000000,38.455600,14.414200,32,-1,tree
dr_primevalentrance,21,148.600000,22.727800,14.727900,20,-1,tree
dr_primevalentrance,22,232.200000,45.970400,12.414200,42,-1,tree
dr_primevalentrance,23,229.200000,48.526600,14.242600,40,-1,tree
dr_primevalentrance,24,141.600000,24.970400,14.485300,21,-1,tree
dr_primevalentrance,25,172.200000,30.071000,15.485300,29,-1,tree
dr_primevalentrance,26,276.200000,70.254400,15.727900,58,-1,tree
dr_primevalentrance,27,164.400000,27.485200,13.485300,26,-1,tree
dr_primevalentrance,28,168.400000,40.455600,15.828400,34,-1,tree
dr_primevalentrance,29,318.600000,72.153800,12.656900,57,-1,tree
dr_primevalentrance,30,261.200000,45.970400,17.142100,42,-1,tree
dr_primevalentrance,31,356.200000,86.568000,18.727900,71,-1,tree
dr_primevalentrance,32,198.200000,30.627200,16.142100,25,-1,tree
dr_primevalentrance,33,217.200000,42.142000,17.313700,39,-1,tree
dr_primevalentrance,34,233.400000,49.526600,18.899500,41,-1,tree
dr_primevalentrance,35,146.800000,23.071000,17.071100,22,-1,tree
dr_primevalentrance,36,167.000000,37.869800,16.656900,31,-1,tree
dr_primevalentrance,37,190.800000,36.041400,18.242600,30,-1,tree
dr_primevalentrance,38,181.600000,44.769200,18.970600,35,-1,tree
dr_primevalentrance,39,178.200000,34.899400,18.071100,33,-1,tree
dr_primevalentrance,40,332.600000,75.325400,20.414200,61,-1,tree
dr_primevalentrance,41,295.800000,72.940800,20.414200,64,-1,tree
dr_primevalentrance,42,262.400000,62.597600,23.242600,52,-1,tree
dr_primevalentrance,43,221.000000,54.769200,23.071100,45,-1,tree
dr_primevalentrance,44,172.000000,34.627200,20.970600,29,-1,tree
dr_primevalentrance,45,246.200000,42.970400,23.313700,39,-1,tree
dr_primevalentrance,46,248.600000,56.355000,22.071100,47,-1,tree
dr_primevalentrance,47,153.000000,25.384600,22.556300,21,-1,tree
dr_primevalentrance,48,227.800000,45.869800,22.213200,39,-1,tree
dr_primevalentrance,49,157.000000,31.556200,20.242600,28,-1,tree
dr_primevalentrance,50,365.600000,99.840200,26.384800,88,-1,tree
dr_primevalentrance,51,161.800000,24.414200,24.414200,25,-1,tree
dr_primevalentrance,52,289.400000,59.869800,24.656900,53,-1,tree
dr_primevalentrance,53,228.200000,40.899400,25.242600,39,-1,tree
dr_primevalentrance,54,167.600000,27.071000,25.071100,26,-1,tree
dr_primevalentrance,55,250.200000,48.142000,25.556300,45,-1,tree
dr_primevalentrance,56,331.200000,78.769200,24.142100,69,-1,tree
dr_primevalentrance,57,171.600000,29.869800,24.213200,23,-1,tree
dr_primevalentrance,58,256.400000,54.627200,27.656900,49,-1,tree
dr_primevalentrance,59,222.600000,41.213000,27.899500,36,-1,tree
dr_primevalentrance,60,246.200000,69.698200,30.242600,62,-1,tree
dr_primevalentrance,61,283.400000,63.869800,29.627400,57,-1,tree
dr_primevalentrance,62,257.600000,66.284000,30.828400,59,-1,tree
dr_primevalentrance,63,212.600000,45.798800,29.799000,41,-1,tree
dr_primevalentrance,64,220.400000,46.869800,30.384800,40,-1,tree
dr_primevalentrance,65,303.800000,68.769200,31.112700,59,-1,tree
dr_primevalentrance,66,298.200000,74.739600,29.142100,60,-1,tree
dr_primevalentrance,67,252.800000,46.556200,28.556300,43,-1,tree
dr_primevalentrance,68,249.800000,56.213000,30.656900,51,-1,tree
dr_primevalentrance,69,168.000000,32.041400,29.213200,26,-1,tree
dr_primevalentrance,70,304.400000,74.769200,35.112700,65,-1,tree
dr_primevalentrance,71,238.000000,43.242600,35.485300,43,-1,tree
dr_primevalentrance,72,244.800000,69.810600,32.455800,53,-1,tree
dr_primevalentrance,73,240.600000,44.899400,34.899500,43,-1,tree
dr_primevalentrance,74,225.800000,46.213000,35.727900,41,-1,tree
dr_primevalentrance,75,330.600000,87.668600,35.727900,75,-1,tree
dr_primevalentrance,76,300.600000,60.041400,33.071100,54,-1,tree
dr_primevalentrance,77,235.400000,60.112400,32.455800,52,-1,tree
dr_primevalentrance,78,223.400000,53.426000,33.041600,42,-1,tree
dr_primevalentrance,79,213.800000,55.355000,32.384800,46,-1,tree
dr_primevalentrance,80,262.600000,49.213000,37.899500,44,-1,tree
dr_primevalentrance,81,185.800000,52.698200,37.384800,45,-1,tree
dr_primevalentrance,82,318.000000,71.284000,38.071100,64,-1,tree
dr_primevalentrance,83,188.800000,50.970400,37.556300,47,-1,tree
dr_primevalentrance,84,193.600000,46.899400,36.414200,45,-1,tree
dr_primevalentrance,85,404.000000,107.568000,36.213200,92,-1,tree
dr_primevalentrance,86,276.200000,67.840200,38.970600,56,-1,tree
dr_primevalentrance,87,252.000000,60.556200,39.242600,57,-1,tree
dr_primevalentrance,88,254.600000,52.798800,37.242600,48,-1,tree
dr_primevalentrance,89,307.400000,70.426000,36.769600,59,-1,tree
dr_primevalentrance,90,180.200000,49.970400,41.970600,46,-1,tree
dr_primevalentrance,91,195.600000,47.213000,42.384800,42,-1,tree
dr_primevalentrance,92,210.800000,55.112400,40.970600,47,-1,tree
dr_primevalentrance,93,352.000000,84.739600,41.041600,70,-1,tree
dr_primevalentrance,94,399.000000,86.597600,40.941100,76,-1,tree
dr_primevalentrance,95,561.000000,68.627200,43.656900,63,-1,tree
dr_primevalentrance,96,172.600000,40.384600,40.384800,36,-1,tree
dr_primevalentrance,97,261.600000,65.384600,43.485300,61,-1,tree
dr_primevalentrance,98,199.000000,52.556200,43.727900,49,-1,tree
dr_primevalentrance,99,329.400000,92.627200,41.071100,87,-1,tree
dr_primevalentrance,100,264.800000,65.798800,47.799000,61,-1,tree
dr_primevalentrance,101,266.200000,57.485200,47.485300,56,-1,tree
dr_primevalentrance,102,285.200000,55.899400,45.656900,54,-1,tree
dr_primevalentrance,103,243.400000,48.485200,44.485300,47,-1,tree
dr_primevalentrance,104,231.600000,55.556200,44.828400,52,-1,tree
dr_primevalentrance,105,368.200000,88.325400,46.384800,74,-1,tree
dr_primevalentrance,106,410.200000,95.568000,46.254800,80,-1,tree
dr_primevalentrance,107,350.800000,92.355000,45.526900,83,-1,tree
dr_primevalentrance,108,400.400000,102.739600,45.727900,88,-1,tree
dr_primevalentrance,109,250.800000,53.597600,45.112700,43,-1,tree
dr_primevalentrance,110,218.800000,58.798800,51.727900,54,-1,tree
dr_primevalentrance,111,285.600000,57.384600,50.313700,53,-1,tree
dr_primevalentrance,112,412.800000,107.568000,48.598000,92,-1,tree
dr_primevalentrance,113,225.600000,50.183400,50.183800,40,-1,tree
dr_primevalentrance,114,400.400000,109.325400,49.384800,95,-1,tree
dr_primevalentrance,115,309.800000,64.970400,49.414200,61,-1,tree
dr_primevalentrance,116,229.200000,68.355000,49.384800,59,-1,tree
dr_primevalentrance,117,361.600000,94.011800,48.698500,83,-1,tree
dr_primevalentrance,118,246.600000,68.940800,49.970600,60,-1,tree
dr_primevalentrance,119,248.200000,63.970400,50.656900,60,-1,tree
dr_primevalentrance,120,306.200000,67.112400,54.627400,59,-1,tree
dr_primevalentrance,121,313.400000,69.426000,53.870100,58,-1,tree
dr_primevalentrance,122,290.200000,67.940800,52.142100,59,-1,tree
dr_primevalentrance,123,266.000000,76.213000,53.828400,71,-1,tree
dr_primevalentrance,124,291.400000,72.940800,54.799000,64,-1,tree
dr_primevalentrance,125,253.600000,68.142000,55.071100,65,-1,tree
dr_primevalentrance,126,212.000000,57.011800,55.012200,46,-1,tree
dr_primevalentrance,127,365.600000,83.426000,55.970600,72,-1,tree
dr_primevalentrance,128,285.600000,55.112400,55.112700,47,-1,tree
dr_primevalentrance,129,296.200000,59.485200,53.485300,58,-1,tree
dr_primevalentrance,130,330.000000,88.940800,56.899500,80,-1,tree
dr_primevalentrance,131,355.400000,68.526600,57.213200,60,-1,tree
dr_primevalentrance,132,341.600000,71.798800,59.313700,67,-1,tree
dr_primevalentrance,133,266.600000,74.041400,58.727900,68,-1,tree
dr_primevalentrance,134,358.200000,85.597600,59.941100,75,-1,tree
dr_primevalentrance,135,396.000000,90.041400,56.142100,84,-1,tree
dr_primevalentrance,136,380.200000,106.254400,56.313700,94,-1,tree
dr_primevalentrance,137,306.600000,86.940800,57.970600,78,-1,tree
dr_primevalentrance,138,376.800000,83.183400,57.142100,73,-1,tree
dr_primevalentrance,139,390.200000,80.455600,57.242600,74,-1,tree
dr_primevalentrance,140,331.200000,64.970400,62.142100,61,-1,tree
dr_primevalentrance,141,346.800000,84.798800,63.485300,80,-1,tree
dr_primevalentrance,142,346.400000,73.455600,63.556300,67,-1,tree
dr_primevalentrance,143,374.800000,112.426000,61.556300,101,-1,tree
dr_primevalentrance,144,540.400000,132.810600,63.012200,116,-1,tree
dr_primevalentrance,145,273.200000,72.112400,62.213200,64,-1,tree
dr_primevalentrance,146,255.200000,77.597600,63.112700,67,-1,tree
dr_primevalentrance,147,316.800000,62.313600,62.313700,60,-1,tree
dr_primevalentrance,148,249.800000,69.698200,61.698500,62,-1,tree
dr_primevalentrance,149,317.400000,70.627200,63.799000,65,-1,tree
dr_primevalentrance,150,390.000000,89.112400,65.799000,81,-1,tree
dr_primevalentrance,151,355.800000,82.142000,65.656900,79,-1,tree
dr_primevalentrance,152,447.000000,92.869800,66.727900,86,-1,tree
dr_primevalentrance,153,503.800000,120.011800,66.254800,109,-1,tree
dr_primevalentrance,154,390.200000,94.940800,66.313700,86,-1,tree
dr_primevalentrance,155,361.000000,73.798800,65.313700,69,-1,tree
dr_primevalentrance,156,525.800000,65.242600,65.242600,65,-1,tree
dr_primevalentrance,157,292.400000,76.627200,64.142100,71,-1,tree
dr_primevalentrance,158,387.400000,93.455600,67.455800,87,-1,tree
dr_primevalentrance,159,356.400000,99.355000,64.041600,90,-1,tree
dr_primevalentrance,160,410.000000,98.082800,68.627400,85,-1,tree
dr_primevalentrance,161,333.400000,71.656800,71.656900,71,-1,tree
dr_primevalentrance,162,656.600000,109.426000,71.870100,98,-1,tree
dr_primevalentrance,163,388.200000,107.568000,69.870100,92,-1,tree
dr_primevalentrance,164,250.800000,75.940800,69.941100,67,-1,tree
dr_primevalentrance,165,406.400000,83.526600,71.870100,75,-1,tree
dr_primevalentrance,166,345.600000,79.142000,68.656900,76,-1,tree
dr_primevalentrance,167,326.600000,97.627200,68.313700,92,-1,tree
dr_primevalentrance,168,376.600000,78.526600,70.870100,70,-1,tree
dr_primevalentrance,169,565.000000,100.497000,69.041600,87,-1,tree
dr_primevalentrance,170,403.200000,89.112400,72.142100,81,-1,tree
dr_primevalentrance,171,288.600000,84.869800,74.870100,78,-1,tree
dr_primevalentrance,172,363.800000,77.313600,74.485300,75,-1,tree
dr_primevalentrance,173,318.400000,100.497000,73.870100,87,-1,tree
dr_primevalentrance,174,439.200000,100.940800,73.970600,92,-1,tree
dr_primevalentrance,175,873.200000,124.597600,73.142100,114,-1,tree
dr_primevalentrance,176,419.200000,104.597600,75.142100,94,-1,tree
dr_primevalentrance,177,386.800000,81.627200,73.970600,76,-1,tree
dr_primevalentrance,178,402.200000,90.313600,74.656900,88,-1,tree
dr_primevalentrance,179,368.800000,105.739600,73.698500,91,-1,tree
dr_primevalentrance,180,337.000000,102.041400,78.384800,96,-1,tree
dr_primevalentrance,181,472.200000,105.284000,79.485300,98,-1,tree
dr_primevalentrance,182,481.400000,105.254400,79.213200,93,-1,tree
dr_primevalentrance,183,300.200000,90.798800,79.970600,86,-1,tree
dr_primevalentrance,184,321.800000,89.455600,76.384800,83,-1,tree
dr_primevalentrance,185,484.000000,141.781000,78.284300,120,-1,tree
dr_primevalentrance,186,423.400000,115.355000,77.799000,106,-1,tree
dr_primevalentrance,187,329.200000,100.526600,79.556300,92,-1,tree
dr_primevalentrance,188,503.400000,85.284000,77.284300,78,-1,tree
dr_primevalentrance,189,505.400000,133.011800,79.598000,122,-1,tree
dr_primevalentrance,190,577.200000,132.840200,80.899500,121,-1,tree
dr_primevalentrance,191,458.600000,91.041400,80.455800,85,-1,tree
dr_primevalentrance,192,395.200000,108.112400,83.284300,100,-1,tree
dr_primevalentrance,193,509.000000,112.355000,82.071100,103,-1,tree
dr_primevalentrance,194,842.800000,106.426000,82.041600,95,-1,tree
dr_primevalentrance,195,380.600000,116.183400,82.870100,106,-1,tree
dr_primevalentrance,196,308.000000,92.041400,80.041600,86,-1,tree
dr_primevalentrance,197,360.600000,81.597600,81.598000,71,-1,tree
dr_primevalentrance,198,318.400000,99.254400,80.284300,87,-1,tree
dr_primevalentrance,199,557.200000,130.668600,83.556300,118,-1,tree
dr_primevalentrance,200,474.000000,116.597600,84.799000,106,-1,tree
dr_primevalentrance,201,625.200000,114.668600,86.041600,102,-1,tree
dr_primevalentrance,202,436.400000,118.769200,85.799000,109,-1,tree
dr_primevalentrance,203,477.000000,118.053200,85.526900,100,-1,tree
dr_primevalentrance,204,7267.800000,107.597600,87.455800,97,-1,tree
dr_primevalentrance,205,505.800000,105.668600,87.284300,93,-1,tree
dr_primevalentrance,206,486.200000,119.396400,87.941100,103,-1,tree
dr_primevalentrance,207,702.400000,95.526600,86.698500,87,-1,tree
dr_primevalentrance,208,355.200000,98.668600,85.012200,86,-1,tree
dr_primevalentrance,209,310.600000,90.798800,84.799000,86,-1,tree
dr_primevalentrance,210,388.800000,90.899400,90.899500,89,-1,tree
dr_primevalentrance,211,493.800000,106.284000,88.284300,99,-1,tree
dr_primevalentrance,212,474.200000,129.082800,90.598000,116,-1,tree
dr_primevalentrance,213,480.600000,104.698200,91.384800,97,-1,tree
dr_primevalentrance,214,511.200000,118.082800,88.627400,105,-1,tree
dr_primevalentrance,215,416.600000,93.556200,89.556300,90,-1,tree
dr_primevalentrance,216,472.400000,116.840200,88.213200,105,-1,tree
dr_primevalentrance,217,425.000000,120.284000,90.384800,113,-1,tree
dr_primevalentrance,218,462.000000,110.041400,89.213200,104,-1,tree
dr_primevalentrance,219,775.400000,143.254400,91.313700,131,-1,tree
dr_primevalentrance,220,575.200000,124.940800,93.242600,116,-1,tree
dr_primevalentrance,221,410.000000,107.485200,92.313700,106,-1,tree
dr_primevalentrance,222,484.200000,150.082800,95.112700,137,-1,tree
dr_primevalentrance,223,545.800000,128.153800,92.213200,113,-1,tree
dr_primevalentrance,224,601.800000,100.727800,93.899500,98,-1,tree
dr_primevalentrance,225,425.600000,98.556200,95.727900,95,-1,tree
dr_primevalentrance,226,346.600000,107.213000,95.899500,102,-1,tree
dr_primevalentrance,227,547.400000,126.739600,94.698500,112,-1,tree
dr_primevalentrance,228,400.200000,118.698200,95.727900,111,-1,tree
dr_primevalentrance,229,552.200000,136.568000,92.284300,121,-1,tree
dr_primevalentrance,230,631.400000,128.497000,99.526900,115,-1,tree
dr_primevalentrance,231,369.600000,108.142000,98.142100,105,-1,tree
dr_primevalentrance,232,513.800000,141.568000,99.526900,126,-1,tree
dr_primevalentrance,233,371.200000,101.727800,97.727900,99,-1,tree
dr_primevalentrance,234,586.600000,148.396400,99.669000,132,-1,tree
dr_primevalentrance,235,565.200000,143.840200,97.112700,132,-1,tree
dr_primevalentrance,236,512.800000,120.698200,96.112700,113,-1,tree
dr_primevalentrance,237,447.200000,106.698200,96.698500,99,-1,tree
dr_primevalentrance,238,550.000000,114.183400,98.769600,104,-1,tree
dr_primevalentrance,239,392.400000,119.982200,99.497500,104,-1,tree
dr_primevalentrance,240,457.000000,137.840200,102.184000,126,-1,tree
dr_primevalentrance,241,455.800000,140.710000,103.012000,121,-1,tree
dr_primevalentrance,242,558.000000,139.082800,101.426000,126,-1,tree
dr_primevalentrance,243,474.000000,113.384600,101.385000,109,-1,tree
dr_primevalentrance,244,455.800000,107.526600,101.527000,99,-1,tree
dr_primevalentrance,245,501.000000,113.467400,102.983000,95,-1,tree
dr_primevalentrance,246,343.600000,110.142000,102.728000,107,-1,tree
dr_primevalentrance,247,621.400000,133.112400,103.071000,125,-1,tree
dr_primevalentrance,248,719.000000,123.455600,103.556000,117,-1,tree
dr_primevalentrance,249,537.600000,114.284000,101.799000,107,-1,tree
dr_primevalentrance,250,464.400000,129.011800,106.042000,118,-1,tree
dr_primevalentrance,251,463.800000,132.869800,104.485000,126,-1,tree
dr_primevalentrance,252,396.600000,133.526600,107.527000,125,-1,tree
dr_primevalentrance,253,481.800000,137.840200,107.556000,126,-1,tree
dr_primevalentrance,254,634.400000,136.497000,105.284000,123,-1,tree
dr_primevalentrance,255,637.200000,133.325400,107.527000,119,-1,tree
dr_primevalentrance,256,602.800000,135.869800,106.456000,129,-1,tree
dr_primevalentrance,257,427.400000,125.082800,107.770000,112,-1,tree
dr_primevalentrance,258,521.200000,147.940800,105.657000,139,-1,tree
dr_primevalentrance,259,445.200000,139.810600,107.770000,123,-1,tree
dr_primevalentrance,260,584.200000,169.982200,111.456000,154,-1,tree
dr_primevalentrance,261,345.000000,113.911200,111.083000,100,-1,tree
dr_primevalentrance,262,481.200000,147.840200,109.899000,136,-1,tree
dr_primevalentrance,263,417.800000,126.455600,111.971000,120,-1,tree
dr_primevalentrance,264,527.200000,114.970400,110.142000,111,-1,tree
dr_primevalentrance,265,539.800000,129.355000,111.213000,120,-1,tree
dr_primevalentrance,266,453.000000,131.840200,108.042000,120,-1,tree
dr_primevalentrance,267,409.800000,119.597600,111.941000,109,-1,tree
dr_primevalentrance,268,524.400000,122.869800,111.556000,116,-1,tree
dr_primevalentrance,269,460.800000,126.940800,109.042000,118,-1,tree
dr_primevalentrance,270,430.600000,133.011800,113.213000,122,-1,tree
dr_primevalentrance,271,455.000000,122.284000,114.284000,115,-1,tree
dr_primevalentrance,272,612.800000,137.982200,113.355000,122,-1,tree
dr_primevalentrance,273,652.000000,160.011800,114.698000,149,-1,tree
dr_primevalentrance,274,578.000000,140.153800,112.841000,125,-1,tree
dr_primevalentrance,275,609.400000,123.869800,113.284000,117,-1,tree
dr_primevalentrance,276,412.400000,123.053200,114.569000,105,-1,tree
dr_primevalentrance,277,386.400000,123.112400,115.456000,115,-1,tree
dr_primevalentrance,278,584.400000,136.153800,114.598000,121,-1,tree
dr_primevalentrance,279,518.000000,140.739600,113.770000,126,-1,tree
dr_primevalentrance,280,634.200000,164.597600,117.627000,154,-1,tree
dr_primevalentrance,281,455.400000,134.970400,118.627000,131,-1,tree
dr_primevalentrance,282,455.800000,141.881600,118.083000,123,-1,tree
dr_primevalentrance,283,1032.200000,171.153800,119.698000,156,-1,tree
dr_primevalentrance,284,753.600000,171.952600,116.012000,151,-1,tree
dr_primevalentrance,285,418.600000,133.698200,119.698000,126,-1,tree
dr_primevalentrance,286,629.800000,189.982200,118.042000,174,-1,tree
dr_primevalentrance,287,678.200000,157.396400,119.598000,141,-1,tree
dr_primevalentrance,288,656.800000,154.739600,118.941000,140,-1,tree
dr_primevalentrance,289,441.200000,132.011800,117.870000,121,-1,tree
dr_primevalentrance,290,637.000000,152.124200,122.083000,132,-1,tree
dr_primevalentrance,291,554.200000,164.355000,123.385000,155,-1,tree
dr_primevalentrance,292,793.400000,176.881600,122.941000,158,-1,tree
dr_primevalentrance,293,611.400000,131.497000,123.497000,118,-1,tree
dr_primevalentrance,294,550.800000,122.698200,120.698000,115,-1,tree
dr_primevalentrance,295,567.800000,172.911200,120.971000,159,-1,tree
dr_primevalentrance,296,520.200000,152.082800,123.456000,139,-1,tree
dr_primevalentrance,297,801.000000,171.497000,123.556000,158,-1,tree
dr_primevalentrance,298,593.600000,140.526600,122.527000,132,-1,tree
dr_primevalentrance,299,430.000000,132.112400,120.456000,124,-1,tree
dr_primevalentrance,300,526.600000,164.597600,125.385000,154,-1,tree
dr_primevalentrance,301,784.800000,181.325400,126.698000,167,-1,tree
dr_primevalentrance,302,569.800000,168.982200,127.385000,153,-1,tree
dr_primevalentrance,303,772.000000,174.325400,124.385000,160,-1,tree
dr_primevalentrance,304,496.000000,133.869800,125.870000,127,-1,tree
dr_primevalentrance,305,452.600000,141.940800,127.213000,133,-1,tree
dr_primevalentrance,306,612.200000,185.396400,124.870000,169,-1,tree
dr_primevalentrance,307,497.600000,144.325400,124.184000,130,-1,tree
dr_primevalentrance,308,484.800000,147.668600,126.698000,135,-1,tree
dr_primevalentrance,309,583.400000,134.568000,126.083000,119,-1,tree
dr_primevalentrance,310,744.400000,154.597600,131.284000,144,-1,tree
dr_primevalentrance,311,778.400000,185.426000,130.497000,174,-1,tree
dr_primevalentrance,312,805.800000,180.982200,128.113000,165,-1,tree
dr_primevalentrance,313,497.000000,156.739600,130.113000,142,-1,tree
dr_primevalentrance,314,730.600000,190.810600,131.113000,174,-1,tree
dr_primevalentrance,315,574.000000,171.597600,129.799000,161,-1,tree
dr_primevalentrance,316,572.600000,138.355000,129.870000,129,-1,tree
dr_primevalentrance,317,580.200000,170.668600,130.485000,158,-1,tree
dr_primevalentrance,318,850.800000,194.053200,128.213000,176,-1,tree
dr_primevalentrance,319,530.400000,159.183400,128.556000,149,-1,tree
dr_primevalentrance,320,632.000000,191.224800,135.284000,174,-1,tree
dr_primevalentrance,321,532.200000,164.254400,132.213000,152,-1,tree
dr_primevalentrance,322,501.000000,166.911200,132.971000,153,-1,tree
dr_primevalentrance,323,648.800000,162.668600,134.184000,150,-1,tree
dr_primevalentrance,324,546.200000,172.082800,132.770000,159,-1,tree
dr_primevalentrance,325,649.200000,136.284000,133.456000,129,-1,tree
dr_primevalentrance,326,883.600000,197.023600,134.497000,174,-1,tree
dr_primevalentrance,327,467.200000,142.426000,132.426000,131,-1,tree
dr_primevalentrance,328,887.200000,215.467400,135.527000,197,-1,tree
dr_primevalentrance,329,493.000000,139.284000,135.284000,132,-1,tree
dr_primevalentrance,330,450.600000,147.970400,139.142000,144,-1,tree
dr_primevalentrance,331,506.000000,178.739600,138.213000,164,-1,tree
dr_primevalentrance,332,769.200000,178.053200,138.113000,160,-1,tree
dr_primevalentrance,333,515.200000,151.355000,139.698000,142,-1,tree
dr_primevalentrance,334,491.000000,140.355000,136.355000,131,-1,tree
dr_primevalentrance,335,511.800000,155.739600,137.740000,141,-1,tree
dr_primevalentrance,336,743.800000,156.254400,136.113000,144,-1,tree
dr_primevalentrance,337,501.400000,166.810600,139.497000,150,-1,tree
dr_primevalentrance,338,767.200000,185.183400,138.841000,175,-1,tree
dr_primevalentrance,339,689.800000,147.112400,137.456000,139,-1,tree
dr_primevalentrance,340,526.200000,159.011800,142.527000,148,-1,tree
dr_primevalentrance,341,708.200000,150.112400,143.042000,142,-1,tree
dr_primevalentrance,342,466.400000,145.284000,142.456000,138,-1,tree
dr_primevalentrance,343,732.000000,172.426000,141.556000,161,-1,tree
dr_primevalentrance,344,461.400000,157.769200,143.627000,148,-1,tree
dr_primevalentrance,345,666.800000,161.112400,142.971000,153,-1,tree
dr_primevalentrance,346,534.800000,171.597600,141.355000,161,-1,tree
dr_primevalentrance,347,784.800000,169.325400,142.497000,155,-1,tree
dr_primevalentrance,348,840.600000,194.781000,140.598000,173,-1,tree
dr_primevalentrance,349,638.200000,184.011800,140.598000,173,-1,tree
dr_primevalentrance,350,517.200000,154.810600,146.811000,138,-1,tree
dr_primevalentrance,351,692.400000,161.627200,147.728000,156,-1,tree
dr_primevalentrance,352,490.800000,164.668600,144.669000,152,-1,tree
dr_primevalentrance,353,923.600000,226.124200,145.598000,206,-1,tree
dr_primevalentrance,354,534.400000,160.183400,146.527000,150,-1,tree
dr_primevalentrance,355,687.000000,202.023600,147.113000,179,-1,tree
dr_primevalentrance,356,845.400000,205.153800,147.397000,190,-1,tree
dr_primevalentrance,357,893.600000,197.325400,147.385000,183,-1,tree
dr_primevalentrance,358,688.200000,152.426000,144.770000,141,-1,tree
dr_primevalentrance,359,608.800000,189.467400,145.527000,171,-1,tree
dr_primevalentrance,360,540.000000,162.153800,148.497000,147,-1,tree
dr_primevalentrance,361,794.800000,185.224800,149.284000,168,-1,tree
dr_primevalentrance,362,703.000000,154.668600,149.012000,142,-1,tree
dr_primevalentrance,363,716.400000,165.467400,151.326000,147,-1,tree
dr_primevalentrance,364,568.200000,164.739600,148.941000,150,-1,tree
dr_primevalentrance,365,504.800000,159.082800,150.598000,146,-1,tree
dr_primevalentrance,366,748.200000,169.497000,149.698000,156,-1,tree
dr_primevalentrance,367,688.600000,212.710000,150.225000,193,-1,tree
dr_primevalentrance,368,689.200000,151.627200,151.627000,146,-1,tree
dr_primevalentrance,369,703.600000,155.668600,148.012000,143,-1,tree
dr_primevalentrance,370,573.600000,175.982200,152.770000,160,-1,tree
dr_primevalentrance,371,464.800000,153.041400,153.042000,147,-1,tree
dr_primevalentrance,372,616.800000,182.911200,152.627000,169,-1,tree
dr_primevalentrance,373,797.600000,173.668600,153.870000,161,-1,tree
dr_primevalentrance,374,783.000000,175.426000,154.456000,164,-1,tree
dr_primevalentrance,375,696.400000,167.698200,153.556000,160,-1,tree
dr_primevalentrance,376,749.400000,165.597600,152.284000,155,-1,tree
dr_primevalentrance,377,895.200000,227.224800,153.284000,210,-1,tree
dr_primevalentrance,378,808.000000,164.840200,155.770000,153,-1,tree
dr_primevalentrance,379,567.400000,177.568000,155.426000,162,-1,tree
dr_primevalentrance,380,885.200000,220.467400,156.527000,202,-1,tree
dr_primevalentrance,381,555.400000,172.940800,159.770000,164,-1,tree
dr_primevalentrance,382,904.600000,211.639000,159.941000,194,-1,tree
dr_primevalentrance,383,771.000000,171.082800,159.770000,158,-1,tree
dr_primevalentrance,384,586.400000,193.497000,157.556000,180,-1,tree
dr_primevalentrance,385,828.800000,176.254400,156.941000,164,-1,tree
dr_primevalentrance,386,800.200000,193.426000,157.284000,182,-1,tree
dr_primevalentrance,387,806.000000,180.053200,158.255000,162,-1,tree
dr_primevalentrance,388,622.800000,182.940800,158.899000,174,-1,tree
dr_primevalentrance,389,596.000000,174.355000,157.627000,165,-1,tree
dr_primevalentrance,390,666.400000,216.153800,160.213000,201,-1,tree
dr_primevalentrance,391,704.400000,166.254400,161.426000,154,-1,tree
dr_primevalentrance,392,781.200000,192.497000,163.870000,179,-1,tree
dr_primevalentrance,393,703.600000,204.082800,161.598000,191,-1,tree
dr_primevalentrance,394,579.800000,170.426000,160.426000,159,-1,tree
dr_primevalentrance,395,524.400000,172.213000,163.385000,167,-1,tree
dr_primevalentrance,396,599.800000,185.295800,161.497000,166,-1,tree
dr_primevalentrance,397,863.800000,190.840200,160.799000,179,-1,tree
dr_primevalentrance,398,779.200000,175.940800,162.184000,167,-1,tree
