map,scenid,tcost,distance,expect,steps,access,r,itype
lt_darktown,0,324.4,8.65685,4,7,0,16,forward
lt_darktown,1,1145.8,21.8995,7.82843,19,21,16,forward
lt_darktown,2,234.6,8.65685,6.65685,7,0,16,forward
lt_darktown,3,345,10.4142,4.41421,10,1,16,forward
lt_darktown,4,663,28.0416,4,21,8,16,forward
lt_darktown,5,895.2,22.0711,4,20,21,16,forward
lt_darktown,6,404,15.6569,6.65685,14,2,16,forward
lt_darktown,7,217.6,7.24264,6.41421,6,0,16,forward
lt_darktown,8,424.4,17.4853,4.41421,15,0,16,forward
lt_darktown,9,782.8,21.8995,7.82843,19,16,16,forward
lt_darktown,10,430.2,17.8995,9.65685,15,0,16,forward
lt_darktown,11,380.8,21.8995,10.8284,19,3,16,forward
lt_darktown,12,417.6,12.6569,10.8995,11,4,16,forward
lt_darktown,13,642.4,23.8995,8.24264,21,2,16,forward
lt_darktown,14,779.8,30.2132,8.41421,24,9,16,forward
lt_darktown,15,804,22.1421,10.8995,18,15,16,forward
lt_darktown,16,361.4,15.3137,11.0711,12,1,16,forward
lt_darktown,17,525.6,14.8284,11.6569,14,8,16,forward
lt_darktown,18,256,9.89949,9.89949,7,0,16,forward
lt_darktown,19,679.8,24.7279,9.65685,21,6,16,forward
lt_darktown,20,494,18.8284,15.8995,18,4,16,forward
lt_darktown,21,508.6,17.3137,13.0711,14,7,16,forward
lt_darktown,22,562.4,21.3848,14.4142,16,4,16,forward
lt_darktown,23,532.8,21.2426,15.4853,20,3,16,forward
lt_darktown,24,330.8,23.799,14.8284,18,0,16,forward
lt_darktown,25,785.8,22.7279,14.8995,19,17,16,forward
lt_darktown,26,704,31.8995,14.0711,29,5,16,forward
lt_darktown,27,567.6,16.4853,15.6569,14,7,16,forward
lt_darktown,28,504.4,23.2132,14.7279,17,4,16,forward
lt_darktown,29,423.8,23.7279,14.3137,20,1,16,forward
lt_darktown,30,451.8,18.4853,18.4853,16,5,16,forward
lt_darktown,31,506.8,24.6274,18.2426,18,3,16,forward
lt_darktown,32,491.4,20.8284,16.4853,20,5,16,forward
lt_darktown,33,340.2,18.4853,16.4853,16,0,16,forward
lt_darktown,34,797.2,41.3848,16.4142,36,16,16,forward
lt_darktown,35,904.2,23.0711,17.3137,21,16,16,forward
lt_darktown,36,681.4,20.8995,17.4853,18,13,16,forward
lt_darktown,37,620.4,23.0711,17.0711,21,9,16,forward
lt_darktown,38,448.8,25.5563,19.3137,21,1,16,forward
lt_darktown,39,516.2,16.0711,16.0711,14,9,16,forward
lt_darktown,40,649.8,28.4853,20.7279,26,11,16,forward
lt_darktown,41,754.6,38.1421,22,34,7,16,forward
lt_darktown,42,810.6,36.9706,21.6569,32,15,16,forward
lt_darktown,43,616.8,24.5563,21.2426,20,10,16,forward
lt_darktown,44,968.2,32.4853,22.6569,30,17,16,forward
lt_darktown,45,851.8,39.3137,23.3137,36,23,16,forward
lt_darktown,46,820.6,26.4853,20.4853,24,10,16,forward
lt_darktown,47,580.4,20.7279,20.7279,17,10,16,forward
lt_darktown,48,789.4,25.3137,23.8995,22,15,16,forward
lt_darktown,49,647.2,30.8995,20.4142,28,13,16,forward
lt_darktown,50,1227.2,43.4853,27.6569,41,38,16,forward
lt_darktown,51,1043.4,50.3553,27.7279,40,24,16,forward
lt_darktown,52,509.6,27.8995,27.0711,25,6,16,forward
lt_darktown,53,939,45.6569,25.6569,44,40,16,forward
lt_darktown,54,609.2,24.8284,24,24,6,16,forward
lt_darktown,55,1632,38.8995,25.6569,36,39,16,forward
lt_darktown,56,661.2,34.3137,27.3137,31,3,16,forward
lt_darktown,57,976.8,32.3137,26.5563,29,19,16,forward
lt_darktown,58,732.4,31.3137,27.3137,28,24,16,forward
lt_darktown,59,819.6,28.4853,27.6569,26,23,16,forward
lt_darktown,60,1196.4,37.6274,28.8995,31,19,16,forward
lt_darktown,61,671.8,33.3848,31.7279,28,20,16,forward
lt_darktown,62,605.2,33.6985,28.9706,25,5,16,forward
lt_darktown,63,1194,50.9706,30.9706,46,43,16,forward
lt_darktown,64,1077.2,35.1421,29.7279,31,15,16,forward
lt_darktown,65,761.2,34.8284,29.8995,34,7,16,forward
lt_darktown,66,726.2,31.3137,31.3137,28,24,16,forward
lt_darktown,67,853.8,31.4853,28.4142,29,19,16,forward
lt_darktown,68,675.4,31.0416,31.0416,24,16,16,forward
lt_darktown,69,1545,49.7279,30.4142,46,45,16,forward
lt_darktown,70,767.8,33.2426,33.2426,32,14,16,forward
lt_darktown,71,1256.8,45.6569,34.4853,44,19,16,forward
lt_darktown,72,717,43.6985,32.7279,35,13,16,forward
lt_darktown,73,1378.2,49.3137,33.8995,46,44,16,forward
lt_darktown,74,842.8,35.7279,35.7279,32,22,16,forward
lt_darktown,75,1368.8,55.4558,33.6569,48,31,16,forward
lt_darktown,76,1264.4,49.9706,35.8284,45,28,16,forward
lt_darktown,77,877.2,43.1421,32.8995,39,25,16,forward
lt_darktown,78,839.4,34.3137,33.4853,31,16,16,forward
lt_darktown,79,1068.6,41.3848,34.5563,36,26,16,forward
lt_darktown,80,1031.4,42.3848,39.0711,37,26,16,forward
lt_darktown,81,1650.8,61.799,37.9706,56,37,16,forward
lt_darktown,82,689.6,37.3137,37.3137,34,12,16,forward
lt_darktown,83,884.6,50.4264,38.2843,38,13,16,forward
lt_darktown,84,1209.2,55.3848,39.8284,50,41,16,forward
lt_darktown,85,1041,62.1838,39.5563,51,26,16,forward
lt_darktown,86,781.2,39.8995,38.7279,37,12,16,forward
lt_darktown,87,930.4,46.799,37.4853,41,23,16,forward
lt_darktown,88,683.2,43.2843,36.2132,35,17,16,forward
lt_darktown,89,882,39.3137,36.3137,36,35,16,forward
lt_darktown,90,925,43.3848,43.3848,38,29,16,forward
lt_darktown,91,988,45.3848,43.6274,40,16,16,forward
lt_darktown,92,916.6,53.2132,43.3137,47,22,16,forward
lt_darktown,93,887.6,42.1421,42.1421,38,33,16,forward
lt_darktown,94,1328.8,57.2843,41.7279,49,31,16,forward
lt_darktown,95,1654.4,64.7696,41.9706,54,38,16,forward
lt_darktown,96,1111.4,40.7279,40.7279,37,31,16,forward
lt_darktown,97,1176,47.7279,40.4853,44,42,16,forward
lt_darktown,98,883.8,45.1421,40.8995,41,22,16,forward
lt_darktown,99,1345,52.7279,41.7279,49,37,16,forward
lt_darktown,100,902.2,51.3848,47.3848,46,39,16,forward
lt_darktown,101,1184.4,49.3137,45.799,46,29,16,forward
lt_darktown,102,2617.4,57.8701,45.8701,50,36,16,forward
lt_darktown,103,1558.6,49.2132,47.4558,43,32,16,forward
lt_darktown,104,947.6,46.3137,46.3137,43,27,16,forward
lt_darktown,105,1157.8,48.1421,44.3848,44,41,16,forward
lt_darktown,106,1605,74.799,46.799,69,63,16,forward
lt_darktown,107,1131.2,61.0416,47.0416,54,52,16,forward
lt_darktown,108,1191.2,52.5563,44.2132,48,22,16,forward
lt_darktown,109,1300.6,53.3848,44.8995,48,28,16,forward
lt_darktown,110,1617.2,62.4853,50.6569,60,54,16,forward
lt_darktown,111,1608.2,70.0833,48.8701,56,35,16,forward
lt_darktown,112,1299.8,54.2132,50.8995,48,34,16,forward
lt_darktown,113,1481,63.0711,50.0711,61,41,16,forward
lt_darktown,114,1137.4,52.799,49.9706,47,28,16,forward
lt_darktown,115,1235.4,61.9411,50.6274,52,40,16,forward
lt_darktown,116,1998.4,63.3137,50.2426,60,55,16,forward
lt_darktown,117,1342.8,59.4558,48.1421,52,39,16,forward
