map,scenid,tcost,distance,expect,steps,access,r,itype
dr_dungeon,0,369.6,10.2426,7.41421,9,0,16,forward
dr_dungeon,1,828.4,19.4142,7.41421,19,2,16,forward
dr_dungeon,2,494.6,22.9706,5.82843,18,0,16,forward
dr_dungeon,3,525.8,29.6274,6.41421,23,0,16,forward
dr_dungeon,4,930.8,20.0711,5.82843,18,18,16,forward
dr_dungeon,5,259,9.82843,6.41421,9,0,16,forward
dr_dungeon,6,414.2,16.4853,7.65685,14,0,16,forward
dr_dungeon,7,438.8,20.9706,7.65685,16,0,16,forward
dr_dungeon,8,212.8,9.07107,6.24264,7,0,16,forward
dr_dungeon,9,288.4,12.0711,6.65685,10,0,16,forward
dr_dungeon,10,613.2,22.6569,11.6569,21,0,16,forward
dr_dungeon,11,387,24.7279,10.2426,21,0,16,forward
dr_dungeon,12,322.8,12.4142,9.48528,12,1,16,forward
dr_dungeon,13,244.4,15.3137,8.24264,12,0,16,forward
dr_dungeon,14,825,35.5269,8.07107,26,2,16,forward
dr_dungeon,15,304.6,15.6569,10,14,0,16,forward
dr_dungeon,16,849.2,27.7279,10.6569,24,21,16,forward
dr_dungeon,17,423.8,18.7279,11.8995,15,0,16,forward
dr_dungeon,18,266.2,15.7279,9.82843,12,0,16,forward
dr_dungeon,19,603.6,16.0711,10.0711,14,8,16,forward
dr_dungeon,20,837.6,17.4853,13.2426,15,10,16,forward
dr_dungeon,21,911.8,33.3848,15,28,12,16,forward
dr_dungeon,22,700.4,20.2426,12.7279,19,10,16,forward
dr_dungeon,23,438.2,16.8995,15.1421,14,2,16,forward
dr_dungeon,24,940.4,21.3137,14,18,11,16,forward
dr_dungeon,25,542.6,20.7279,13.0711,17,3,16,forward
dr_dungeon,26,366.6,17.2426,15.4853,16,0,16,forward
dr_dungeon,27,1029.8,30.1421,15.4142,26,11,16,forward
dr_dungeon,28,653.6,21.7279,15.8284,18,2,16,forward
dr_dungeon,29,605.2,16.4142,12.3137,16,6,16,forward
dr_dungeon,30,944,26.9706,19.9706,22,14,16,forward
dr_dungeon,31,883.2,44.6274,19.0711,38,7,16,forward
dr_dungeon,32,1141.4,22.7279,19.3137,19,20,16,forward
dr_dungeon,33,857,28.0711,17.2426,26,14,16,forward
dr_dungeon,34,628,31.8995,17.4142,29,0,16,forward
dr_dungeon,35,791,22.3137,16.2426,19,9,16,forward
dr_dungeon,36,728,30.3137,16.0711,27,10,16,forward
dr_dungeon,37,588.2,17.7279,17.1421,14,6,16,forward
dr_dungeon,38,589.4,17.4853,16.6569,15,8,16,forward
dr_dungeon,39,983.8,19.8284,19.8284,19,17,16,forward
dr_dungeon,40,782.8,31.2426,22.0711,30,12,16,forward
dr_dungeon,41,980.8,30.6274,21.799,24,7,16,forward
dr_dungeon,42,560.2,21.8284,21.2426,21,16,16,forward
dr_dungeon,43,1029.2,47.5269,22.0711,38,10,16,forward
dr_dungeon,44,383,25.6569,22.4853,24,0,16,forward
dr_dungeon,45,1106.4,26.0711,23.0711,24,17,16,forward
dr_dungeon,46,1232.4,27.8995,23.799,25,17,16,forward
dr_dungeon,47,841,36.8995,20.8995,34,14,16,forward
dr_dungeon,48,645.2,25.9706,21.7279,21,9,16,forward
dr_dungeon,49,1053,37.9706,22.4142,33,19,16,forward
dr_dungeon,50,1171.8,46.0416,26.3848,39,11,16,forward
dr_dungeon,51,1030.4,34.3848,24.3848,29,17,16,forward
dr_dungeon,52,975.2,31.3848,26.6274,26,14,16,forward
dr_dungeon,53,1049.4,31.8284,27.4853,31,20,16,forward
dr_dungeon,54,971.8,33.5563,25.4142,29,19,16,forward
dr_dungeon,55,631.2,40.2843,24.7279,32,1,16,forward
dr_dungeon,56,527.6,34.4558,24.4142,27,1,16,forward
dr_dungeon,57,669.6,25.9706,25.9706,21,9,16,forward
dr_dungeon,58,883.8,32.5563,26.0711,28,10,16,forward
dr_dungeon,59,1179.2,29.0711,24.0711,27,16,16,forward
dr_dungeon,60,859.4,35.9706,30.3137,31,8,16,forward
dr_dungeon,61,880.4,34.7279,30.5563,31,6,16,forward
dr_dungeon,62,887.2,31.0711,29.4142,29,5,16,forward
dr_dungeon,63,827.6,42.0416,29.3137,35,10,16,forward
dr_dungeon,64,1433.8,39.3848,30.8995,34,28,16,forward
dr_dungeon,65,784.8,37.6569,30.8284,36,1,16,forward
dr_dungeon,66,1171.8,45.8995,28.4142,43,11,16,forward
dr_dungeon,67,720,30.799,30.799,25,10,16,forward
dr_dungeon,68,920,37.3137,29.4853,34,8,16,forward
dr_dungeon,69,899.8,35.5563,30.0416,31,12,16,forward
dr_dungeon,70,1449.6,35.4853,35.4853,33,25,16,forward
dr_dungeon,71,2084.4,48.2132,32.2132,42,45,16,forward
dr_dungeon,72,1509.4,42.1421,32.1421,38,40,16,forward
dr_dungeon,73,1027.6,42.6274,35.8995,36,20,16,forward
dr_dungeon,74,1022,41.6274,35.6569,35,21,16,forward
dr_dungeon,75,1461,56.8701,35.0711,49,36,16,forward
dr_dungeon,76,882.4,34.3848,32.3848,29,14,16,forward
dr_dungeon,77,1745.8,51.598,33.4558,40,29,16,forward
dr_dungeon,78,1195.4,50.4264,32.0416,38,16,16,forward
dr_dungeon,79,841.6,41.9411,34.8701,32,16,16,forward
dr_dungeon,80,1412.2,60.3259,37.6985,45,14,16,forward
dr_dungeon,81,1058.8,38.0711,37.2426,36,18,16,forward
dr_dungeon,82,1628,52.3137,39.3137,49,23,16,forward
dr_dungeon,83,1473.6,39.7279,36.8995,36,29,16,forward
dr_dungeon,84,1647.4,49.8995,36.4853,47,32,16,forward
dr_dungeon,85,1230,39.3848,39.3848,34,23,16,forward
