map,scenid,total-src,20move-src,distance,path_size,hLevel
brc100d,0,200,212,0,0,0
brc100d,1,265,311,0,0,0
brc100d,2,234,224,0,0,0
brc100d,3,207,262,0,0,0
brc100d,4,267,249,0,0,0
brc100d,5,184,161,0,0,0
brc100d,6,131,137,0,0,0
brc100d,7,173,183,0,0,0
brc100d,8,125,123,0,0,0
brc100d,9,203,274,0,0,0
brc100d,10,365,520,0,0,0
brc100d,11,343,362,0,0,0
brc100d,12,443,578,0,0,0
brc100d,13,291,334,0,0,0
brc100d,14,297,360,0,0,0
brc100d,15,318,324,0,0,0
brc100d,16,419,541,0,0,0
brc100d,17,508,459,0,0,0
brc100d,18,418,466,0,0,0
brc100d,19,278,304,0,0,0
brc100d,20,456,544,0,0,0
brc100d,21,572,576,0,0,0
brc100d,22,454,477,0,0,0
brc100d,23,352,413,0,0,0
brc100d,24,383,472,0,0,0
brc100d,25,356,410,0,0,0
brc100d,26,419,432,0,0,0
brc100d,27,376,405,0,0,0
brc100d,28,359,486,0,0,0
brc100d,29,436,569,0,0,0
brc100d,30,682,830,0,0,0
brc100d,31,469,614,0,0,0
brc100d,32,548,554,0,0,0
brc100d,33,589,623,0,0,0
brc100d,34,603,584,0,0,0
brc100d,35,595,681,0,0,0
brc100d,36,745,763,0,0,0
brc100d,37,639,703,0,0,0
brc100d,38,505,559,0,0,0
brc100d,39,472,478,0,0,0
brc100d,40,864,960,0,0,0
brc100d,41,580,607,0,0,0
brc100d,42,648,631,0,0,0
brc100d,43,652,633,0,0,0
brc100d,44,576,639,0,0,0
brc100d,45,710,705,0,0,0
brc100d,46,639,801,0,0,0
brc100d,47,785,812,0,0,0
brc100d,48,958,1060,0,0,0
brc100d,49,911,1006,0,0,0
brc100d,50,924,1096,0,0,0
brc100d,51,916,942,0,0,0
brc100d,52,843,821,0,0,0
brc100d,53,867,890,0,0,0
brc100d,54,865,717,0,0,0
brc100d,55,1004,947,0,0,0
brc100d,56,1248,1156,0,0,0
brc100d,57,928,868,0,0,0
brc100d,58,902,935,0,0,0
brc100d,59,552,582,0,0,0
brc100d,60,819,722,0,0,0
brc100d,61,1510,1261,0,0,0
brc100d,62,1134,951,0,0,0
brc100d,63,1067,952,0,0,0
brc100d,64,1178,1106,0,0,0
brc100d,65,842,860,0,0,0
brc100d,66,926,1055,0,0,0
brc100d,67,1277,1228,0,0,0
brc100d,68,934,781,0,0,0
brc100d,69,968,1046,0,0,0
brc100d,70,1360,878,0,0,0
brc100d,71,1312,714,0,0,0
brc100d,72,1183,751,0,0,0
brc100d,73,863,803,0,0,0
brc100d,74,1438,868,0,0,0
brc100d,75,851,597,0,0,0
brc100d,76,1044,860,0,0,0
brc100d,77,1408,1155,0,0,0
brc100d,78,1391,1083,0,0,0
brc100d,79,1047,797,0,0,0
brc100d,80,1464,987,0,0,0
brc100d,81,1270,758,0,0,0
brc100d,82,1337,947,0,0,0
brc100d,83,1730,850,0,0,0
brc100d,84,1325,1036,0,0,0
brc100d,85,1671,651,0,0,0
brc100d,86,794,555,0,0,0
brc100d,87,1124,896,0,0,0
brc100d,88,1020,649,0,0,0
brc100d,89,1624,872,0,0,0
brc100d,90,1004,519,0,0,0
brc100d,91,1292,891,0,0,0
